word,mean,target,answer,romaji,type,wordReading,wordRomaji,parts,sentence,sentenceReading,sentenceMeaning,id
国,đất nước,国,くに,kuni,kun,くに,kuni,国~くに~kuni~đất nước~target,ことば「国」を よみます。,ことば「くに」を よみます。,Tôi đọc từ “đất nước”.,v1:%E5%9B%BD:%E5%9B%BD:kun:%E3%81%8F%E3%81%AB
去年,năm ngoái,年,ねん,nen,on,きょねん,kyonen,去~きょ~kyo~đã qua~support|年~ねん~nen~năm~target,ことば「去年」を よみます。,ことば「きょねん」を よみます。,Tôi đọc từ “năm ngoái”.,v1:%E5%B9%B4:%E5%8E%BB%E5%B9%B4:on:%E3%81%AD%E3%82%93
毎年,mỗi năm,年,ねん,nen,on,まいねん,mainen,毎~まい~mai~mỗi~support|年~ねん~nen~năm~target,ことば「毎年」を よみます。,ことば「まいねん」を よみます。,Tôi đọc từ “mỗi năm”.,v1:%E5%B9%B4:%E6%AF%8E%E5%B9%B4:on:%E3%81%AD%E3%82%93
年,tuổi / năm,年,とし,toshi,kun,とし,toshi,年~とし~toshi~tuổi / năm~target,ことば「年」を よみます。,ことば「とし」を よみます。,Tôi đọc từ “tuổi / năm”.,v1:%E5%B9%B4:%E5%B9%B4:kun:%E3%81%A8%E3%81%97
大学,đại học,大,だい,dai,on,だいがく,daigaku,大~だい~dai~lớn~target|学~がく~gaku~học~support,ことば「大学」を よみます。,ことば「だいがく」を よみます。,Tôi đọc từ “đại học”.,v1:%E5%A4%A7:%E5%A4%A7%E5%AD%A6:on:%E3%81%A0%E3%81%84
大切,quan trọng,大,たい,tai,on,たいせつ,taisetsu,大~たい~tai~lớn~target|切~せつ~setsu~thiết yếu~support,ことば「大切」を よみます。,ことば「たいせつ」を よみます。,Tôi đọc từ “quan trọng”.,v1:%E5%A4%A7:%E5%A4%A7%E5%88%87:on:%E3%81%9F%E3%81%84
大きい,to / lớn,大,おお,oo,kun,おおきい,ookii,大~おお~oo~lớn~target|きい~きい~kii~~kana,ことば「大きい」を よみます。,ことば「おおきい」を よみます。,Tôi đọc từ “to / lớn”.,v1:%E5%A4%A7:%E5%A4%A7%E3%81%8D%E3%81%84:kun:%E3%81%8A%E3%81%8A
金魚,cá vàng,魚,ぎょ,gyo,on,きんぎょ,kingyo,金~きん~kin~vàng~support|魚~ぎょ~gyo~cá~target,ことば「金魚」を よみます。,ことば「きんぎょ」を よみます。,Tôi đọc từ “cá vàng”.,v1:%E9%AD%9A:%E9%87%91%E9%AD%9A:on:%E3%81%8E%E3%82%87
魚,cá,魚,さかな,sakana,kun,さかな,sakana,魚~さかな~sakana~cá~target,ことば「魚」を よみます。,ことば「さかな」を よみます。,Tôi đọc từ “cá”.,v1:%E9%AD%9A:%E9%AD%9A:kun:%E3%81%95%E3%81%8B%E3%81%AA
魚市場,chợ cá,魚,うお,uo,kun,うおいちば,uoichiba,魚~うお~uo~cá~target|市場~いちば~ichiba~chợ~support,ことば「魚市場」を よみます。,ことば「うおいちば」を よみます。,Tôi đọc từ “chợ cá”.,v1:%E9%AD%9A:%E9%AD%9A%E5%B8%82%E5%A0%B4:kun:%E3%81%86%E3%81%8A
日本人,người Nhật Bản,人,じん,jin,on,にほんじん,nihonjin,日本~にほん~nihon~Nhật Bản~support|人~じん~jin~người~target,ことば「日本人」を よみます。,ことば「にほんじん」を よみます。,Tôi đọc từ “người Nhật Bản”.,v1:%E4%BA%BA:%E6%97%A5%E6%9C%AC%E4%BA%BA:on:%E3%81%98%E3%82%93
三人,ba người,人,にん,nin,on,さんにん,sannin,三~さん~san~ba~support|人~にん~nin~người~target,ことば「三人」を よみます。,ことば「さんにん」を よみます。,Tôi đọc từ “ba người”.,v1:%E4%BA%BA:%E4%B8%89%E4%BA%BA:on:%E3%81%AB%E3%82%93
人,người,人,ひと,hito,kun,ひと,hito,人~ひと~hito~người~target,ことば「人」を よみます。,ことば「ひと」を よみます。,Tôi đọc từ “người”.,v1:%E4%BA%BA:%E4%BA%BA:kun:%E3%81%B2%E3%81%A8
十月,tháng Mười,十,じゅう,juu,on,じゅうがつ,juugatsu,十~じゅう~juu~mười~target|月~がつ~gatsu~tháng~support,ことば「十月」を よみます。,ことば「じゅうがつ」を よみます。,Tôi đọc từ “tháng Mười”.,v1:%E5%8D%81:%E5%8D%81%E6%9C%88:on:%E3%81%98%E3%82%85%E3%81%86
十円,mười yên,十,じゅう,juu,on,じゅうえん,juuen,十~じゅう~juu~mười~target|円~えん~en~yên~support,ことば「十円」を よみます。,ことば「じゅうえん」を よみます。,Tôi đọc từ “mười yên”.,v1:%E5%8D%81:%E5%8D%81%E5%86%86:on:%E3%81%98%E3%82%85%E3%81%86
十日,ngày mùng mười / mười ngày,十,とお,too,kun,とおか,tooka,十~とお~too~mười~target|日~か~ka~ngày~support,ことば「十日」を よみます。,ことば「とおか」を よみます。,Tôi đọc từ “ngày mùng mười / mười ngày”.,v1:%E5%8D%81:%E5%8D%81%E6%97%A5:kun:%E3%81%A8%E3%81%8A
二月,tháng Hai,二,に,ni,on,にがつ,nigatsu,二~に~ni~hai~target|月~がつ~gatsu~tháng~support,ことば「二月」を よみます。,ことば「にがつ」を よみます。,Tôi đọc từ “tháng Hai”.,v1:%E4%BA%8C:%E4%BA%8C%E6%9C%88:on:%E3%81%AB
二年,hai năm,二,に,ni,on,にねん,ninen,二~に~ni~hai~target|年~ねん~nen~năm~support,ことば「二年」を よみます。,ことば「にねん」を よみます。,Tôi đọc từ “hai năm”.,v1:%E4%BA%8C:%E4%BA%8C%E5%B9%B4:on:%E3%81%AB
二つ,hai cái,二,ふた,futa,kun,ふたつ,futatsu,二~ふた~futa~hai~target|つ~つ~tsu~trợ từ đếm~kana,ことば「二つ」を よみます。,ことば「ふたつ」を よみます。,Tôi đọc từ “hai cái”.,v1:%E4%BA%8C:%E4%BA%8C%E3%81%A4:kun:%E3%81%B5%E3%81%9F
日本,Nhật Bản,本,ほん,hon,on,にほん,nihon,日~に~ni~Nhật / mặt trời~support|本~ほん~hon~gốc~target,ことば「日本」を よみます。,ことば「にほん」を よみます。,Tôi đọc từ “Nhật Bản”.,v1:%E6%9C%AC:%E6%97%A5%E6%9C%AC:on:%E3%81%BB%E3%82%93
本当,thật sự / sự thật,本,ほん,hon,on,ほんとう,hontou,本~ほん~hon~gốc / chính~target|当~とう~tou~đúng~support,ことば「本当」を よみます。,ことば「ほんとう」を よみます。,Tôi đọc từ “thật sự / sự thật”.,v1:%E6%9C%AC:%E6%9C%AC%E5%BD%93:on:%E3%81%BB%E3%82%93
本,gốc / căn nguyên,本,もと,moto,kun,もと,moto,本~もと~moto~gốc / căn nguyên~target,ことば「本」を よみます。,ことば「もと」を よみます。,Tôi đọc từ “gốc / căn nguyên”.,v1:%E6%9C%AC:%E6%9C%AC:kun:%E3%82%82%E3%81%A8
中国,Trung Quốc,中,ちゅう,chuu,on,ちゅうごく,chuugoku,中~ちゅう~chuu~giữa~target|国~ごく~goku~quốc gia~support,ことば「中国」を よみます。,ことば「ちゅうごく」を よみます。,Tôi đọc từ “Trung Quốc”.,v1:%E4%B8%AD:%E4%B8%AD%E5%9B%BD:on:%E3%81%A1%E3%82%85%E3%81%86
中学校,trường trung học cơ sở,中,ちゅう,chuu,on,ちゅうがっこう,chuugakkou,中~ちゅう~chuu~trung~target|学校~がっこう~gakkou~trường học~support,ことば「中学校」を よみます。,ことば「ちゅうがっこう」を よみます。,Tôi đọc từ “trường trung học cơ sở”.,v1:%E4%B8%AD:%E4%B8%AD%E5%AD%A6%E6%A0%A1:on:%E3%81%A1%E3%82%85%E3%81%86
中,bên trong / ở giữa,中,なか,naka,kun,なか,naka,中~なか~naka~bên trong / ở giữa~target,ことば「中」を よみます。,ことば「なか」を よみます。,Tôi đọc từ “bên trong / ở giữa”.,v1:%E4%B8%AD:%E4%B8%AD:kun:%E3%81%AA%E3%81%8B
社長,giám đốc công ty,長,ちょう,chou,on,しゃちょう,shachou,社~しゃ~sha~công ty~support|長~ちょう~chou~trưởng~target,ことば「社長」を よみます。,ことば「しゃちょう」を よみます。,Tôi đọc từ “giám đốc công ty”.,v1:%E9%95%B7:%E7%A4%BE%E9%95%B7:on:%E3%81%A1%E3%82%87%E3%81%86
校長,hiệu trưởng,長,ちょう,chou,on,こうちょう,kouchou,校~こう~kou~trường~support|長~ちょう~chou~trưởng~target,ことば「校長」を よみます。,ことば「こうちょう」を よみます。,Tôi đọc từ “hiệu trưởng”.,v1:%E9%95%B7:%E6%A0%A1%E9%95%B7:on:%E3%81%A1%E3%82%87%E3%81%86
長い,dài,長,なが,naga,kun,ながい,nagai,長~なが~naga~dài~target|い~い~i~~kana,ことば「長い」を よみます。,ことば「ながい」を よみます。,Tôi đọc từ “dài”.,v1:%E9%95%B7:%E9%95%B7%E3%81%84:kun:%E3%81%AA%E3%81%8C
出口,lối ra,出,で,de,kun,でぐち,deguchi,出~で~de~ra~target|口~ぐち~guchi~miệng / lối~support,ことば「出口」を よみます。,ことば「でぐち」を よみます。,Tôi đọc từ “lối ra”.,v1:%E5%87%BA:%E5%87%BA%E5%8F%A3:kun:%E3%81%A7
出る,đi ra / xuất hiện,出,で,de,kun,でる,deru,出~で~de~ra~target|る~る~ru~~kana,ことば「出る」を よみます。,ことば「でる」を よみます。,Tôi đọc từ “đi ra / xuất hiện”.,v1:%E5%87%BA:%E5%87%BA%E3%82%8B:kun:%E3%81%A7
出発,khởi hành,出,しゅっ,shu,on,しゅっぱつ,shuppatsu,出~しゅっ~shu~xuất / ra~target|発~ぱつ~patsu~phát / khởi hành~support,ことば「出発」を よみます。,ことば「しゅっぱつ」を よみます。,Tôi đọc từ “khởi hành”.,v1:%E5%87%BA:%E5%87%BA%E7%99%BA:on:%E3%81%97%E3%82%85%E3%81%A3
三月,tháng Ba,三,さん,san,on,さんがつ,sangatsu,三~さん~san~ba~target|月~がつ~gatsu~tháng~support,ことば「三月」を よみます。,ことば「さんがつ」を よみます。,Tôi đọc từ “tháng Ba”.,v1:%E4%B8%89:%E4%B8%89%E6%9C%88:on:%E3%81%95%E3%82%93
三人,ba người,三,さん,san,on,さんにん,sannin,三~さん~san~ba~target|人~にん~nin~người~support,ことば「三人」を よみます。,ことば「さんにん」を よみます。,Tôi đọc từ “ba người”.,v1:%E4%B8%89:%E4%B8%89%E4%BA%BA:on:%E3%81%95%E3%82%93
三つ,ba cái,三,みっ,mi,kun,みっつ,mittsu,三~みっ~mi~ba~target|つ~つ~tsu~trợ từ đếm~kana,ことば「三つ」を よみます。,ことば「みっつ」を よみます。,Tôi đọc từ “ba cái”.,v1:%E4%B8%89:%E4%B8%89%E3%81%A4:kun:%E3%81%BF%E3%81%A3
時間,thời gian,時,じ,ji,on,じかん,jikan,時~じ~ji~thời gian~target|間~かん~kan~khoảng~support,ことば「時間」を よみます。,ことば「じかん」を よみます。,Tôi đọc từ “thời gian”.,v1:%E6%99%82:%E6%99%82%E9%96%93:on:%E3%81%98
六時,sáu giờ,時,じ,ji,on,ろくじ,rokuji,六~ろく~roku~sáu~support|時~じ~ji~giờ~target,ことば「六時」を よみます。,ことば「ろくじ」を よみます。,Tôi đọc từ “sáu giờ”.,v1:%E6%99%82:%E5%85%AD%E6%99%82:on:%E3%81%98
時,lúc / thời điểm,時,とき,toki,kun,とき,toki,時~とき~toki~lúc / thời điểm~target,ことば「時」を よみます。,ことば「とき」を よみます。,Tôi đọc từ “lúc / thời điểm”.,v1:%E6%99%82:%E6%99%82:kun:%E3%81%A8%E3%81%8D
銀行,ngân hàng,行,こう,kou,on,ぎんこう,ginkou,銀~ぎん~gin~bạc~support|行~こう~kou~hàng / cơ quan~target,ことば「銀行」を よみます。,ことば「ぎんこう」を よみます。,Tôi đọc từ “ngân hàng”.,v1:%E8%A1%8C:%E9%8A%80%E8%A1%8C:on:%E3%81%93%E3%81%86
旅行,du lịch,行,こう,kou,on,りょこう,ryokou,旅~りょ~ryo~chuyến đi~support|行~こう~kou~đi~target,ことば「旅行」を よみます。,ことば「りょこう」を よみます。,Tôi đọc từ “du lịch”.,v1:%E8%A1%8C:%E6%97%85%E8%A1%8C:on:%E3%81%93%E3%81%86
行く,đi,行,い,i,kun,いく,iku,行~い~i~đi~target|く~く~ku~~kana,ことば「行く」を よみます。,ことば「いく」を よみます。,Tôi đọc từ “đi”.,v1:%E8%A1%8C:%E8%A1%8C%E3%81%8F:kun:%E3%81%84
意見,ý kiến,見,けん,ken,on,いけん,iken,意~い~i~ý~support|見~けん~ken~cách nhìn~target,ことば「意見」を よみます。,ことば「いけん」を よみます。,Tôi đọc từ “ý kiến”.,v1:%E8%A6%8B:%E6%84%8F%E8%A6%8B:on:%E3%81%91%E3%82%93
見学,tham quan học tập,見,けん,ken,on,けんがく,kengaku,見~けん~ken~xem~target|学~がく~gaku~học~support,ことば「見学」を よみます。,ことば「けんがく」を よみます。,Tôi đọc từ “tham quan học tập”.,v1:%E8%A6%8B:%E8%A6%8B%E5%AD%A6:on:%E3%81%91%E3%82%93
見る,nhìn / xem,見,み,mi,kun,みる,miru,見~み~mi~nhìn~target|る~る~ru~~kana,ことば「見る」を よみます。,ことば「みる」を よみます。,Tôi đọc từ “nhìn / xem”.,v1:%E8%A6%8B:%E8%A6%8B%E3%82%8B:kun:%E3%81%BF
今月,tháng này,今,こん,kon,on,こんげつ,kongetsu,今~こん~kon~này / hiện tại~target|月~げつ~getsu~tháng~support,ことば「今月」を よみます。,ことば「こんげつ」を よみます。,Tôi đọc từ “tháng này”.,v1:%E4%BB%8A:%E4%BB%8A%E6%9C%88:on:%E3%81%93%E3%82%93
今週,tuần này,今,こん,kon,on,こんしゅう,konshuu,今~こん~kon~này / hiện tại~target|週~しゅう~shuu~tuần~support,ことば「今週」を よみます。,ことば「こんしゅう」を よみます。,Tôi đọc từ “tuần này”.,v1:%E4%BB%8A:%E4%BB%8A%E9%80%B1:on:%E3%81%93%E3%82%93
今,bây giờ,今,いま,ima,kun,いま,ima,今~いま~ima~bây giờ~target,ことば「今」を よみます。,ことば「いま」を よみます。,Tôi đọc từ “bây giờ”.,v1:%E4%BB%8A:%E4%BB%8A:kun:%E3%81%84%E3%81%BE
月曜日,thứ Hai,月,げつ,getsu,on,げつようび,getsuyoubi,月~げつ~getsu~mặt trăng / thứ Hai~target|曜日~ようび~youbi~ngày trong tuần~support,ことば「月曜日」を よみます。,ことば「げつようび」を よみます。,Tôi đọc từ “thứ Hai”.,v1:%E6%9C%88:%E6%9C%88%E6%9B%9C%E6%97%A5:on:%E3%81%92%E3%81%A4
一月,tháng Một,月,がつ,gatsu,on,いちがつ,ichigatsu,一~いち~ichi~một~support|月~がつ~gatsu~tháng~target,ことば「一月」を よみます。,ことば「いちがつ」を よみます。,Tôi đọc từ “tháng Một”.,v1:%E6%9C%88:%E4%B8%80%E6%9C%88:on:%E3%81%8C%E3%81%A4
月,mặt trăng,月,つき,tsuki,kun,つき,tsuki,月~つき~tsuki~mặt trăng~target,ことば「月」を よみます。,ことば「つき」を よみます。,Tôi đọc từ “mặt trăng”.,v1:%E6%9C%88:%E6%9C%88:kun:%E3%81%A4%E3%81%8D
半分,một nửa,分,ぶん,bun,on,はんぶん,hanbun,半~はん~han~nửa~support|分~ぶん~bun~phần~target,ことば「半分」を よみます。,ことば「はんぶん」を よみます。,Tôi đọc từ “một nửa”.,v1:%E5%88%86:%E5%8D%8A%E5%88%86:on:%E3%81%B6%E3%82%93
十分,mười phút,分,ぷん,pun,on,じゅっぷん,juppun,十~じゅっ~ju~mười~support|分~ぷん~pun~phút~target,ことば「十分」を よみます。,ことば「じゅっぷん」を よみます。,Tôi đọc từ “mười phút”.,v1:%E5%88%86:%E5%8D%81%E5%88%86:on:%E3%81%B7%E3%82%93
分かる,hiểu,分,わ,wa,kun,わかる,wakaru,分~わ~wa~hiểu / phân biệt~target|かる~かる~karu~~kana,ことば「分かる」を よみます。,ことば「わかる」を よみます。,Tôi đọc từ “hiểu”.,v1:%E5%88%86:%E5%88%86%E3%81%8B%E3%82%8B:kun:%E3%82%8F
午後,buổi chiều,後,ご,go,on,ごご,gogo,午~ご~go~trưa~support|後~ご~go~sau~target,ことば「午後」を よみます。,ことば「ごご」を よみます。,Tôi đọc từ “buổi chiều”.,v1:%E5%BE%8C:%E5%8D%88%E5%BE%8C:on:%E3%81%94
後ろ,phía sau,後,うし,ushi,kun,うしろ,ushiro,後~うし~ushi~phía sau~target|ろ~ろ~ro~~kana,ことば「後ろ」を よみます。,ことば「うしろ」を よみます。,Tôi đọc từ “phía sau”.,v1:%E5%BE%8C:%E5%BE%8C%E3%82%8D:kun:%E3%81%86%E3%81%97
後で,lát nữa / sau đó,後,あと,ato,kun,あとで,atode,後~あと~ato~sau~target|で~で~de~~kana,ことば「後で」を よみます。,ことば「あとで」を よみます。,Tôi đọc từ “lát nữa / sau đó”.,v1:%E5%BE%8C:%E5%BE%8C%E3%81%A7:kun:%E3%81%82%E3%81%A8
午前,buổi sáng,前,ぜん,zen,on,ごぜん,gozen,午~ご~go~trưa~support|前~ぜん~zen~trước~target,ことば「午前」を よみます。,ことば「ごぜん」を よみます。,Tôi đọc từ “buổi sáng”.,v1:%E5%89%8D:%E5%8D%88%E5%89%8D:on:%E3%81%9C%E3%82%93
名前,tên,前,まえ,mae,kun,なまえ,namae,名~な~na~tên~support|前~まえ~mae~phần sau của từ tên~target,ことば「名前」を よみます。,ことば「なまえ」を よみます。,Tôi đọc từ “tên”.,v1:%E5%89%8D:%E5%90%8D%E5%89%8D:kun:%E3%81%BE%E3%81%88
前,phía trước / trước đây,前,まえ,mae,kun,まえ,mae,前~まえ~mae~phía trước~target,ことば「前」を よみます。,ことば「まえ」を よみます。,Tôi đọc từ “phía trước / trước đây”.,v1:%E5%89%8D:%E5%89%8D:kun:%E3%81%BE%E3%81%88
学生,học sinh,生,せい,sei,on,がくせい,gakusei,学~がく~gaku~học~support|生~せい~sei~người / sinh~target,ことば「学生」を よみます。,ことば「がくせい」を よみます。,Tôi đọc từ “học sinh”.,v1:%E7%94%9F:%E5%AD%A6%E7%94%9F:on:%E3%81%9B%E3%81%84
先生,giáo viên,生,せい,sei,on,せんせい,sensei,先~せん~sen~trước~support|生~せい~sei~sinh~target,ことば「先生」を よみます。,ことば「せんせい」を よみます。,Tôi đọc từ “giáo viên”.,v1:%E7%94%9F:%E5%85%88%E7%94%9F:on:%E3%81%9B%E3%81%84
生まれる,được sinh ra,生,う,u,kun,うまれる,umareru,生~う~u~sinh~target|まれる~まれる~mareru~~kana,ことば「生まれる」を よみます。,ことば「うまれる」を よみます。,Tôi đọc từ “được sinh ra”.,v1:%E7%94%9F:%E7%94%9F%E3%81%BE%E3%82%8C%E3%82%8B:kun:%E3%81%86
五月,tháng Năm,五,ご,go,on,ごがつ,gogatsu,五~ご~go~năm~target|月~がつ~gatsu~tháng~support,ことば「五月」を よみます。,ことば「ごがつ」を よみます。,Tôi đọc từ “tháng Năm”.,v1:%E4%BA%94:%E4%BA%94%E6%9C%88:on:%E3%81%94
五人,năm người,五,ご,go,on,ごにん,gonin,五~ご~go~năm~target|人~にん~nin~người~support,ことば「五人」を よみます。,ことば「ごにん」を よみます。,Tôi đọc từ “năm người”.,v1:%E4%BA%94:%E4%BA%94%E4%BA%BA:on:%E3%81%94
五つ,năm cái,五,いつ,itsu,kun,いつつ,itsutsu,五~いつ~itsu~năm~target|つ~つ~tsu~trợ từ đếm~kana,ことば「五つ」を よみます。,ことば「いつつ」を よみます。,Tôi đọc từ “năm cái”.,v1:%E4%BA%94:%E4%BA%94%E3%81%A4:kun:%E3%81%84%E3%81%A4
時間,thời gian,間,かん,kan,on,じかん,jikan,時~じ~ji~thời~support|間~かん~kan~khoảng~target,ことば「時間」を よみます。,ことば「じかん」を よみます。,Tôi đọc từ “thời gian”.,v1:%E9%96%93:%E6%99%82%E9%96%93:on:%E3%81%8B%E3%82%93
人間,con người,間,げん,gen,on,にんげん,ningen,人~にん~nin~người~support|間~げん~gen~cõi / giới~target,ことば「人間」を よみます。,ことば「にんげん」を よみます。,Tôi đọc từ “con người”.,v1:%E9%96%93:%E4%BA%BA%E9%96%93:on:%E3%81%92%E3%82%93
間,khoảng giữa,間,あいだ,aida,kun,あいだ,aida,間~あいだ~aida~khoảng giữa~target,ことば「間」を よみます。,ことば「あいだ」を よみます。,Tôi đọc từ “khoảng giữa”.,v1:%E9%96%93:%E9%96%93:kun:%E3%81%82%E3%81%84%E3%81%A0
上手,giỏi / khéo,上,じょう,jou,on,じょうず,jouzu,上~じょう~jou~trên / giỏi~target|手~ず~zu~tay / kỹ năng~support,ことば「上手」を よみます。,ことば「じょうず」を よみます。,Tôi đọc từ “giỏi / khéo”.,v1:%E4%B8%8A:%E4%B8%8A%E6%89%8B:on:%E3%81%98%E3%82%87%E3%81%86
上げる,nâng lên,上,あ,a,kun,あげる,ageru,上~あ~a~lên~target|げる~げる~geru~~kana,ことば「上げる」を よみます。,ことば「あげる」を よみます。,Tôi đọc từ “nâng lên”.,v1:%E4%B8%8A:%E4%B8%8A%E3%81%92%E3%82%8B:kun:%E3%81%82
上,phía trên,上,うえ,ue,kun,うえ,ue,上~うえ~ue~phía trên~target,ことば「上」を よみます。,ことば「うえ」を よみます。,Tôi đọc từ “phía trên”.,v1:%E4%B8%8A:%E4%B8%8A:kun:%E3%81%86%E3%81%88
東京,Tokyo,東,とう,tou,on,とうきょう,toukyou,東~とう~tou~phía Đông~target|京~きょう~kyou~kinh đô~support,ことば「東京」を よみます。,ことば「とうきょう」を よみます。,Tôi đọc từ “Tokyo”.,v1:%E6%9D%B1:%E6%9D%B1%E4%BA%AC:on:%E3%81%A8%E3%81%86
東口,cửa phía Đông,東,ひがし,higashi,kun,ひがしぐち,higashiguchi,東~ひがし~higashi~phía Đông~target|口~ぐち~guchi~cửa / lối~support,ことば「東口」を よみます。,ことば「ひがしぐち」を よみます。,Tôi đọc từ “cửa phía Đông”.,v1:%E6%9D%B1:%E6%9D%B1%E5%8F%A3:kun:%E3%81%B2%E3%81%8C%E3%81%97
東,phía Đông,東,ひがし,higashi,kun,ひがし,higashi,東~ひがし~higashi~phía Đông~target,ことば「東」を よみます。,ことば「ひがし」を よみます。,Tôi đọc từ “phía Đông”.,v1:%E6%9D%B1:%E6%9D%B1:kun:%E3%81%B2%E3%81%8C%E3%81%97
四月,tháng Tư,四,し,shi,on,しがつ,shigatsu,四~し~shi~bốn~target|月~がつ~gatsu~tháng~support,ことば「四月」を よみます。,ことば「しがつ」を よみます。,Tôi đọc từ “tháng Tư”.,v1:%E5%9B%9B:%E5%9B%9B%E6%9C%88:on:%E3%81%97
四人,bốn người,四,よ,yo,kun,よにん,yonin,四~よ~yo~bốn~target|人~にん~nin~người~support,ことば「四人」を よみます。,ことば「よにん」を よみます。,Tôi đọc từ “bốn người”.,v1:%E5%9B%9B:%E5%9B%9B%E4%BA%BA:kun:%E3%82%88
四つ,bốn cái,四,よっ,yo,kun,よっつ,yottsu,四~よっ~yo~bốn~target|つ~つ~tsu~trợ từ đếm~kana,ことば「四つ」を よみます。,ことば「よっつ」を よみます。,Tôi đọc từ “bốn cái”.,v1:%E5%9B%9B:%E5%9B%9B%E3%81%A4:kun:%E3%82%88%E3%81%A3
金曜日,thứ Sáu,金,きん,kin,on,きんようび,kinyoubi,金~きん~kin~vàng / thứ Sáu~target|曜日~ようび~youbi~ngày trong tuần~support,ことば「金曜日」を よみます。,ことば「きんようび」を よみます。,Tôi đọc từ “thứ Sáu”.,v1:%E9%87%91:%E9%87%91%E6%9B%9C%E6%97%A5:on:%E3%81%8D%E3%82%93
金色,màu vàng kim,金,きん,kin,on,きんいろ,kiniro,金~きん~kin~vàng~target|色~いろ~iro~màu~support,ことば「金色」を よみます。,ことば「きんいろ」を よみます。,Tôi đọc từ “màu vàng kim”.,v1:%E9%87%91:%E9%87%91%E8%89%B2:on:%E3%81%8D%E3%82%93
お金,tiền,金,かね,kane,kun,おかね,okane,お~お~o~tiền tố lịch sự~kana|金~かね~kane~tiền / vàng~target,ことば「お金」を よみます。,ことば「おかね」を よみます。,Tôi đọc từ “tiền”.,v1:%E9%87%91:%E3%81%8A%E9%87%91:kun:%E3%81%8B%E3%81%AD
九月,tháng Chín,九,く,ku,on,くがつ,kugatsu,九~く~ku~chín~target|月~がつ~gatsu~tháng~support,ことば「九月」を よみます。,ことば「くがつ」を よみます。,Tôi đọc từ “tháng Chín”.,v1:%E4%B9%9D:%E4%B9%9D%E6%9C%88:on:%E3%81%8F
